เริ่มการรายงาน,สิ้นสุดการรายงาน,ชื่อแคมเปญ,วัตถุประสงค์,เริ่ม,สิ้นสุด,"จำนวนเงินที่ใช้จ่ายไป (THB)",การตั้งค่าการระบุที่มา,ผลลัพธ์,ตัวระบุผลลัพธ์,ต้นทุนต่อผลลัพธ์,การเข้าถึง,อิมเพรสชัน,การมีส่วนร่วมกับโพสต์,ThruPlay,การเข้าชมแลนดิ้งเพจ,การรับชมเนื้อหา,การหยิบใส่รถเข็น,การซื้อ,ค่าคอนเวอร์ชั่นการซื้อ
2022-01-03,2022-06-19,"Conversion - 2C2508 Promotion Gift Set ข้าวใหม่เกี่ยวสด 6-15 Dec 4 Box",CONVERSIONS,2021-12-06,2021-12-15,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 2C2507 Promotion Gift Set ข้าวใหม่เกี่ยวสด 6-15 Dec 1 Box (DP)",CONVERSIONS,2021-12-06,2021-12-15,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 2C2513 Flash sale 12.12 ลดพิเศษ ส่งท้ายปี (All)",CONVERSIONS,2021-12-11,2021-12-13,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 2C2514 Flash sale 12.12 ลดพิเศษ ส่งท้ายปี (Limited)",CONVERSIONS,2021-12-11,2021-12-13,0,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",,,,0,0,,,,,,,
2022-01-03,2022-06-19,"Conversion - 2C2601 Promotion : 20 Dec - 4 Jan Limited Edition โอกาสสุดท้ายของปี!",CONVERSIONS,2021-12-20,2022-01-04,990.35,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",15,actions:offsite_conversion.fb_pixel_purchase,66.023333333333,13940,17122,105,,52,130,28,15,18119
2022-01-03,2022-06-19,"Conversion - 3C0111 Promotion กระเช้าหงษ์ทอง 5-15 Jan (Darkpost)",CONVERSIONS,2022-01-10,2022-01-15,2000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",9,actions:offsite_conversion.fb_pixel_purchase,222.22222222222,8428,17104,53,,29,85,13,9,13783
2022-01-03,2022-06-19,"Conversion - 3C0113 Promotion 13-17 ข้าวหอมมะลิใหม่ 799.-",CONVERSIONS,2022-01-13,2022-01-17,8000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",156,actions:offsite_conversion.fb_pixel_purchase,51.282051282051,42440,85771,884,,392,1009,211,156,152579.65
2022-01-03,2022-06-19,"Conversion - 3C0312	Flash sale 2.2 (1-4 Feb)",CONVERSIONS,2022-02-01,2022-02-04,5299.39,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",27,actions:offsite_conversion.fb_pixel_purchase,196.2737037037,27478,49339,611,,163,403,37,27,26718.71
2022-01-03,2022-06-19,"Conversion - 3C0313	Flash sale 2.2 (1-4 Feb) ต้นฤดู",CONVERSIONS,2022-02-01,2022-02-04,2832.33,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",8,actions:offsite_conversion.fb_pixel_purchase,354.04125,12983,21013,141,,90,162,16,8,8157
2022-01-03,2022-06-19,"Conversion - 3C0312	Flash sale 2.2 (1-4 Feb) - Revise",CONVERSIONS,2022-02-03,2022-02-04,4000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",13,actions:offsite_conversion.fb_pixel_purchase,307.69230769231,20560,33342,300,,218,364,26,13,13293
2022-01-03,2022-06-19,"Conversion - 3C0314 Promotion รักใครให้ Riceberry (7-14 Feb) RBB แพ็คคู่",CONVERSIONS,2022-02-08,2022-02-14,3184.74,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",6,actions:offsite_conversion.fb_pixel_purchase,530.79,16308,31706,68,,12,95,9,6,2454
2022-01-03,2022-06-19,"Conversion - 3C0315	Promotion (7-14 Feb) ต้นฤดู+RBB",CONVERSIONS,2022-02-08,2022-02-14,3798.03,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",9,actions:offsite_conversion.fb_pixel_purchase,422.00333333333,15478,28554,120,,28,141,18,9,8267
2022-01-03,2022-06-19,"Conversion - 3C0316	Promotion ข้าวหอมมะลิต้นฤดู 859 (9-15 Feb)",CONVERSIONS,2022-02-09,2022-02-15,9364.04,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",30,actions:offsite_conversion.fb_pixel_purchase,312.13466666667,46120,88672,395,,130,450,55,30,30477
2022-01-03,2022-06-19,"Conversion -  3C0416	Promotion Hongthong X King (ข้าว+น้ำมัน)",CONVERSIONS,2022-02-19,2022-02-25,7699.41,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",21,actions:offsite_conversion.fb_pixel_purchase,366.63857142857,28344,66670,315,,98,312,37,21,20612
2022-01-03,2022-06-19,"Conversion - 3C0501 Flash Sale 3.3 (2-4 Mar)",CONVERSIONS,2022-03-02,2022-03-04,10000,"การคลิกในช่วง 7 วันหรือการดูในช่วง 1 วัน",81,actions:offsite_conversion.fb_pixel_purchase,123.45679012346,48383,93286,883,,303,898,124,81,80549.57
